palavra,categoria,divisao_silabica,tonica_silabica_num,divisao_fonetica,tonica_fonetica_num
pá,interjeição,['pá'],-1,['pˈa'],-1
pá,nome masculino,['pá'],-1,['pˈa'],-1
pá,nome feminino,['pá'],-1,['pˈa'],-1
paca,nome feminino,"['pa', 'ca']",-2,"['pˈa', 'kɐ']",-2
paca,adjetivo,"['pa', 'ca']",-2,"['pˈa', 'kɐ']",-2
pacaça,nome feminino,"['pa', 'ca', 'ça']",-2,"['pa', 'kˈa', 'sɐ']",-2
pacata,nome feminino,"['pa', 'ca', 'ta']",-2,"['pa', 'kˈa', 'tɐ']",-2
pacatamente,advérbio,"['pa', 'ca', 'ta', 'men', 'te']",-2,"['pa', 'ka', 'tã', 'mˈẽ', 'tʃɪ']",-2
pacatez,nome feminino,"['pa', 'ca', 'tez']",-1,"['pa', 'ka', 'tˈeʃ']",-1
pacato,adjetivo,"['pa', 'ca', 'to']",-2,"['pa', 'kˈa', 'tʊ']",-2
pacato,nome masculino,"['pa', 'ca', 'to']",-2,"['pa', 'kˈa', 'tʊ']",-2
pacau,nome masculino,"['pa', 'cau']",-1,"['pa', 'kˈaw']",-1
pacemaker,nome masculino,"['pa', 'ce', 'ma', 'ker']",-2,[''],0
pacense,nome masculino,"['pa', 'cen', 'se']",-2,"['pa', 'sˈẽ', 'sɪ']",-2
pacense,adjetivo,"['pa', 'cen', 'se']",-2,"['pa', 'sˈẽ', 'sɪ']",-2
pacho,nome masculino,"['pa', 'cho']",-2,"['pˈa', 'ʃʊ']",-2
pachorra,nome feminino,"['pa', 'chor', 'ra']",-2,"['pa', 'ʃˈo', 'ɦɐ']",-2
pachorrentamente,advérbio,"['pa', 'chor', 'ren', 'ta', 'men', 'te']",-2,"['pa', 'ʃo', 'ɦẽ', 'tã', 'mˈẽ', 'tʃɪ']",-2
pachorrento,adjetivo,"['pa', 'chor', 'ren', 'to']",-2,"['pa', 'ʃo', 'ɦˈẽ', 'tʊ']",-2
paciência,nome feminino,"['pa', 'ci', 'ên', 'ci', 'a']",-3,"['pa', 'si', 'ˈẽ', 'sjɐ']",-2
pacientar,verbo,"['pa', 'ci', 'en', 'tar']",-1,"['pa', 'si', 'ẽ', 'tˈa']",-1
paciente,nome masculino,"['pa', 'ci', 'en', 'te']",-2,"['pa', 'si', 'ˈẽ', 'tʃɪ']",-2
paciente,adjetivo,"['pa', 'ci', 'en', 'te']",-2,"['pa', 'si', 'ˈẽ', 'tʃɪ']",-2
paciente,nome feminino,"['pa', 'ci', 'en', 'te']",-2,"['pa', 'si', 'ˈẽ', 'tʃɪ']",-2
pacientemente,advérbio,"['pa', 'ci', 'en', 'te', 'men', 'te']",-2,"['pa', 'si', 'ẽ', 'tẽ', 'mˈẽ', 'tʃɪ']",-2
pacificação,nome feminino,"['pa', 'ci', 'fi', 'ca', 'ção']",-1,"['pa', 'si', 'fi', 'ka', 'sˈɐ̃w']",-1
pacificado,adjetivo,"['pa', 'ci', 'fi', 'ca', 'do']",-2,"['pa', 'si', 'fi', 'kˈa', 'dʊ']",-2
pacificador,adjetivo,"['pa', 'ci', 'fi', 'ca', 'dor']",-1,"['pa', 'si', 'fi', 'ka', 'dˈo']",-1
pacificador,nome masculino,"['pa', 'ci', 'fi', 'ca', 'dor']",-1,"['pa', 'si', 'fi', 'ka', 'dˈo']",-1
pacificadora,nome feminino,"['pa', 'ci', 'fi', 'ca', 'do', 'ra']",-2,"['pa', 'si', 'fi', 'ka', 'dˈo', 'ɾɐ']",-2
pacificamente,advérbio,"['pa', 'ci', 'fi', 'ca', 'men', 'te']",-2,"['pa', 'si', 'fi', 'kã', 'mˈẽ', 'tʃɪ']",-2
pacificar,verbo,"['pa', 'ci', 'fi', 'car']",-1,"['pa', 'si', 'fi', 'kˈa']",-1
pacífico,adjetivo,"['pa', 'cí', 'fi', 'co']",-3,"['pa', 'sˈi', 'fi', 'kʊ']",-3
pacífico,nome masculino,"['pa', 'cí', 'fi', 'co']",-3,"['pa', 'sˈi', 'fi', 'kʊ']",-3
pacifismo,nome masculino,"['pa', 'ci', 'fis', 'mo']",-2,"['pa', 'si', 'fˈiʒ', 'mʊ']",-2
pacifista,adjetivo,"['pa', 'ci', 'fis', 'ta']",-2,"['pa', 'si', 'fˈiʃ', 'tɐ']",-2
pacifista,nome masculino,"['pa', 'ci', 'fis', 'ta']",-2,"['pa', 'si', 'fˈiʃ', 'tɐ']",-2
pacifista,nome feminino,"['pa', 'ci', 'fis', 'ta']",-2,"['pa', 'si', 'fˈiʃ', 'tɐ']",-2
pack,nome masculino,['pack'],-1,[''],0
paco,nome masculino,"['pa', 'co']",-2,"['pˈa', 'kʊ']",-2
paço,nome masculino,"['pa', 'ço']",-2,"['pˈa', 'sʊ']",-2
pacote,nome masculino,"['pa', 'co', 'te']",-2,"['pa', 'kˈɔ', 'tʃɪ']",-2
pacotilha,nome feminino,"['pa', 'co', 'ti', 'lha']",-2,"['pa', 'ko', 'tʃˈi', 'ʎɐ']",-2
pacóvia,nome feminino,"['pa', 'có', 'vi', 'a']",-3,"['pa', 'kˈɔ', 'vjɐ']",-2
pacoviamente,advérbio,"['pa', 'co', 'vi', 'a', 'men', 'te']",-2,"['pa', 'kɔ', 'vi', 'ã', 'mˈẽ', 'tʃɪ']",-2
pacóvio,adjetivo,"['pa', 'có', 'vi', 'o']",-3,"['pa', 'kˈɔ', 'vjʊ']",-2
pacóvio,nome masculino,"['pa', 'có', 'vi', 'o']",-3,"['pa', 'kˈɔ', 'vjʊ']",-2
pacto,nome masculino,"['pac', 'to']",-2,"['pˈa', 'kə', 'tʊ']",-3
pactuado,adjetivo,"['pac', 'tu', 'a', 'do']",-2,"['pa', 'kə', 'tu', 'ˈa', 'dʊ']",-2
pactuar,verbo,"['pac', 'tu', 'ar']",-1,"['pa', 'kə', 'tu', 'ˈa']",-1
pada,nome feminino,"['pa', 'da']",-2,"['pˈa', 'dɐ']",-2
padaria,nome feminino,"['pa', 'da', 'ri', 'a']",-2,"['pa', 'da', 'ɾˈi', 'ɐ']",-2
padecer,verbo,"['pa', 'de', 'cer']",-1,"['pa', 'de', 'sˈe']",-1
padecimento,nome masculino,"['pa', 'de', 'ci', 'men', 'to']",-2,"['pa', 'de', 'sĩ', 'mˈẽ', 'tʊ']",-2
padeira,nome feminino,"['pa', 'dei', 'ra']",-2,"['pa', 'dˈej', 'ɾɐ']",-2
padeiro,nome masculino,"['pa', 'dei', 'ro']",-2,"['pa', 'dˈej', 'ɾʊ']",-2
padinha,nome feminino,"['pa', 'di', 'nha']",-2,"['pa', 'dʒˈĩ', 'ɲɐ']",-2
padiola,nome feminino,"['pa', 'di', 'o', 'la']",-2,"['pa', 'dʒjˈɔ', 'lɐ']",-2
padralhada,nome feminino,"['pa', 'dra', 'lha', 'da']",-2,"['pa', 'dɾa', 'ʎˈa', 'dɐ']",-2
padrão,nome masculino,"['pa', 'drão']",-1,"['pa', 'dɾˈɐ̃w']",-1
padrar,verbo,"['pa', 'drar']",-1,"['pa', 'dɾˈa']",-1
padrasto,nome masculino,"['pa', 'dras', 'to']",-2,"['pa', 'dɾˈaʃ', 'tʊ']",-2
padre,nome masculino,"['pa', 'dre']",-2,"['pˈa', 'dɾɪ']",-2
padre-nosso,nome masculino,"['pa', 'dre', 'nos', 'so']",-2,"['pˌa', 'dɾi', 'nˈɔ', 'sʊ']",-2
padreca,nome masculino,"['pa', 'dre', 'ca']",-2,"['pa', 'dɾˈɛ', 'kɐ']",-2
padrinho,nome masculino,"['pa', 'dri', 'nho']",-2,"['pa', 'dɾˈĩ', 'ɲʊ']",-2
padroado,nome masculino,"['pa', 'dro', 'a', 'do']",-2,"['pa', 'dɾo', 'ˈa', 'dʊ']",-2
padroeira,nome feminino,"['pa', 'dro', 'ei', 'ra']",-2,"['pa', 'dɾo', 'ˈej', 'ɾɐ']",-2
padroeiro,adjetivo,"['pa', 'dro', 'ei', 'ro']",-2,"['pa', 'dɾo', 'ˈej', 'ɾʊ']",-2
padroeiro,nome masculino,"['pa', 'dro', 'ei', 'ro']",-2,"['pa', 'dɾo', 'ˈej', 'ɾʊ']",-2
padronização,nome feminino,"['pa', 'dro', 'ni', 'za', 'ção']",-1,"['pa', 'dɾõ', 'ni', 'za', 'sˈɐ̃w']",-1
padronizado,adjetivo,"['pa', 'dro', 'ni', 'za', 'do']",-2,"['pa', 'dɾõ', 'ni', 'zˈa', 'dʊ']",-2
padronizar,verbo,"['pa', 'dro', 'ni', 'zar']",-1,"['pa', 'dɾõ', 'ni', 'zˈa']",-1
paelha,nome feminino,"['pa', 'e', 'lha']",-2,"['pa', 'ˈe', 'ʎɐ']",-2
paella,nome feminino,"['pa', 'el', 'la']",-2,[''],0
