palavra,categoria,divisao_silabica,tonica_silabica_num,divisao_fonetica,tonica_fonetica_num
quadra,nome feminino,"['qua', 'dra']",-2,"['kwˈa', 'dɾɐ']",-2
quadradinho,nome masculino,"['qua', 'dra', 'di', 'nho']",-2,"['kwa', 'dɾa', 'dʒˈĩ', 'ɲʊ']",-2
quadrado,adjetivo,"['qua', 'dra', 'do']",-2,"['kwa', 'dɾˈa', 'dʊ']",-2
quadrado,nome masculino,"['qua', 'dra', 'do']",-2,"['kwa', 'dɾˈa', 'dʊ']",-2
quadragenário,adjetivo,"['qua', 'dra', 'ge', 'ná', 'ri', 'o']",-3,"['kwa', 'dɾa', 'ʒẽ', 'nˈa', 'ɾjʊ']",-2
quadragenário,nome masculino,"['qua', 'dra', 'ge', 'ná', 'ri', 'o']",-3,"['kwa', 'dɾa', 'ʒẽ', 'nˈa', 'ɾjʊ']",-2
quadragésima,nome feminino,"['qua', 'dra', 'gé', 'si', 'ma']",-3,"['kwa', 'dɾa', 'ʒˈɛ', 'zĩ', 'mɐ']",-3
quadragésimo,número,"['qua', 'dra', 'gé', 'si', 'mo']",-3,"['kwa', 'dɾa', 'ʒˈɛ', 'zĩ', 'mʊ']",-3
quadragésimo,nome masculino,"['qua', 'dra', 'gé', 'si', 'mo']",-3,"['kwa', 'dɾa', 'ʒˈɛ', 'zĩ', 'mʊ']",-3
quadrangular,nome masculino,"['qua', 'dran', 'gu', 'lar']",-1,"['kwa', 'dɾɐ̃', 'gu', 'lˈa']",-1
quadrangular,adjetivo,"['qua', 'dran', 'gu', 'lar']",-1,"['kwa', 'dɾɐ̃', 'gu', 'lˈa']",-1
quadrante,nome masculino,"['qua', 'dran', 'te']",-2,"['kwa', 'dɾˈɐ̃', 'tʃɪ']",-2
quadrar,verbo,"['qua', 'drar']",-1,"['kwa', 'dɾˈa']",-1
quadratura,nome feminino,"['qua', 'dra', 'tu', 'ra']",-2,"['kwa', 'dɾa', 'tˈu', 'ɾɐ']",-2
quadricromia,nome feminino,"['qua', 'dri', 'cro', 'mi', 'a']",-2,"['kwa', 'dɾi', 'kɾõ', 'mˈi', 'ɐ']",-2
quadrícula,nome feminino,"['qua', 'drí', 'cu', 'la']",-3,"['kwa', 'dɾˈi', 'ku', 'lɐ']",-3
quadriculado,adjetivo,"['qua', 'dri', 'cu', 'la', 'do']",-2,"['kwa', 'dɾi', 'ku', 'lˈa', 'dʊ']",-2
quadriculado,nome masculino,"['qua', 'dri', 'cu', 'la', 'do']",-2,"['kwa', 'dɾi', 'ku', 'lˈa', 'dʊ']",-2
quadricular,verbo,"['qua', 'dri', 'cu', 'lar']",-1,"['kwa', 'dɾi', 'ku', 'lˈa']",-1
quadricular,adjetivo,"['qua', 'dri', 'cu', 'lar']",-1,"['kwa', 'dɾi', 'ku', 'lˈa']",-1
quadrienal,adjetivo,"['qua', 'dri', 'e', 'nal']",-1,"['kwa', 'dɾi', 'ẽ', 'nˈaw']",-1
quadrienalmente,advérbio,"['qua', 'dri', 'e', 'nal', 'men', 'te']",-2,"['kwa', 'dɾi', 'ẽ', 'naw', 'mˈẽ', 'tʃɪ']",-2
quadriénio,nome masculino,"['qua', 'dri', 'é', 'ni', 'o']",-3,"['kwa', 'dɾi', 'ˈɛ̃', 'njʊ']",-2
quadrifonia,nome feminino,"['qua', 'dri', 'fo', 'ni', 'a']",-2,"['kwa', 'dɾi', 'fõ', 'nˈi', 'ɐ']",-2
quadriga,nome feminino,"['qua', 'dri', 'ga']",-2,"['kwa', 'dɾˈi', 'gɐ']",-2
quadril,nome masculino,"['qua', 'dril']",-1,"['kwa', 'dɾˈiw']",-1
quadrilateral,adjetivo,"['qua', 'dri', 'la', 'te', 'ral']",-1,"['kwa', 'dɾi', 'la', 'te', 'ɾˈaw']",-1
quadrilátero,nome masculino,"['qua', 'dri', 'lá', 'te', 'ro']",-3,"['kwa', 'dɾi', 'lˈa', 'te', 'ɾʊ']",-3
quadrilátero,adjetivo,"['qua', 'dri', 'lá', 'te', 'ro']",-3,"['kwa', 'dɾi', 'lˈa', 'te', 'ɾʊ']",-3
quadrilha,nome feminino,"['qua', 'dri', 'lha']",-2,"['kwa', 'dɾˈi', 'ʎɐ']",-2
quadrilhar,verbo,"['qua', 'dri', 'lhar']",-1,"['kwa', 'dɾi', 'ʎˈa']",-1
quadrilheiro,nome masculino,"['qua', 'dri', 'lhei', 'ro']",-2,"['kwa', 'dɾi', 'ʎˈej', 'ɾʊ']",-2
quadrilheiro,adjetivo,"['qua', 'dri', 'lhei', 'ro']",-2,"['kwa', 'dɾi', 'ʎˈej', 'ɾʊ']",-2
quadrimestral,adjetivo,"['qua', 'dri', 'mes', 'tral']",-1,"['kwa', 'dɾĩ', 'meʃ', 'tɾˈaw']",-1
quadrimestralmente,advérbio,"['qua', 'dri', 'mes', 'tral', 'men', 'te']",-2,"['kwa', 'dɾĩ', 'meʃ', 'tɾaw', 'mˈẽ', 'tʃɪ']",-2
quadrimestre,nome masculino,"['qua', 'dri', 'mes', 'tre']",-2,"['kwa', 'dɾĩ', 'mˈɛʃ', 'tɾɪ']",-2
quadrimotor,nome masculino,"['qua', 'dri', 'mo', 'tor']",-1,"['kwa', 'dɾĩ', 'mo', 'tˈo']",-1
quadrimotor,adjetivo,"['qua', 'dri', 'mo', 'tor']",-1,"['kwa', 'dɾĩ', 'mo', 'tˈo']",-1
quadripartido,adjetivo,"['qua', 'dri', 'par', 'ti', 'do']",-2,"['kwa', 'dɾi', 'pah', 'tʃˈi', 'dʊ']",-2
quadro,nome masculino,"['qua', 'dro']",-2,"['kwˈa', 'dɾʊ']",-2
quadrúpede,nome masculino,"['qua', 'drú', 'pe', 'de']",-3,"['kwa', 'dɾˈu', 'pe', 'dʒɪ']",-3
quadrúpede,adjetivo,"['qua', 'drú', 'pe', 'de']",-3,"['kwa', 'dɾˈu', 'pe', 'dʒɪ']",-3
quadruplar,verbo,"['qua', 'dru', 'plar']",-1,"['kwa', 'dɾu', 'plˈa']",-1
quadruplicação,nome feminino,"['qua', 'dru', 'pli', 'ca', 'ção']",-1,"['kwa', 'dɾu', 'pli', 'ka', 'sˈɐ̃w']",-1
quadruplicar,verbo,"['qua', 'dru', 'pli', 'car']",-1,"['kwa', 'dɾu', 'pli', 'kˈa']",-1
quádruplo,número,"['quá', 'dru', 'plo']",-3,"['kwˈa', 'dɾu', 'plʊ']",-3
quádruplo,nome masculino,"['quá', 'dru', 'plo']",-3,"['kwˈa', 'dɾu', 'plʊ']",-3
quádruplo,adjetivo,"['quá', 'dru', 'plo']",-3,"['kwˈa', 'dɾu', 'plʊ']",-3
qual,pronome,['qual'],-1,['kwˈaw'],-1
qual,artigo,['qual'],-1,['kwˈaw'],-1
qual,pronome,['qual'],-1,['kwˈaw'],-1
qual,conjunção,['qual'],-1,['kwˈaw'],-1
