palavra,categoria,divisao_silabica,tonica_silabica_num,divisao_fonetica,tonica_fonetica_num
rã,nome feminino,['rã'],-1,['ɦˈɐ̃'],-1
rabaça,nome feminino,"['ra', 'ba', 'ça']",-2,"['ɦa', 'bˈa', 'sɐ']",-2
rabaçal,nome masculino,"['ra', 'ba', 'çal']",-1,"['ɦa', 'ba', 'sˈaw']",-1
rabaçal,adjetivo,"['ra', 'ba', 'çal']",-1,"['ɦa', 'ba', 'sˈaw']",-1
rabada,nome feminino,"['ra', 'ba', 'da']",-2,"['ɦa', 'bˈa', 'dɐ']",-2
rabado,adjetivo,"['ra', 'ba', 'do']",-2,"['ɦa', 'bˈa', 'dʊ']",-2
rabanada,nome feminino,"['ra', 'ba', 'na', 'da']",-2,"['ɦa', 'bã', 'nˈa', 'dɐ']",-2
rabanal,nome masculino,"['ra', 'ba', 'nal']",-1,"['ɦa', 'bã', 'nˈaw']",-1
rabanar,verbo,"['ra', 'ba', 'nar']",-1,"['ɦa', 'bã', 'nˈa']",-1
rabanete,nome masculino,"['ra', 'ba', 'ne', 'te']",-2,"['ɦa', 'bã', 'nˈe', 'tʃɪ']",-2
rábano,nome masculino,"['rá', 'ba', 'no']",-3,"['ɦˈa', 'bã', 'nʊ']",-3
rabão,nome masculino,"['ra', 'bão']",-1,"['ɦa', 'bˈɐ̃w']",-1
rabão,adjetivo,"['ra', 'bão']",-1,"['ɦa', 'bˈɐ̃w']",-1
rabear,verbo,"['ra', 'be', 'ar']",-1,"['ɦa', 'bi', 'ˈa']",-1
rabeca,nome feminino,"['ra', 'be', 'ca']",-2,"['ɦa', 'bˈɛ', 'kɐ']",-2
rabeca,nome masculino,"['ra', 'be', 'ca']",-2,"['ɦa', 'bˈɛ', 'kɐ']",-2
rabecada,nome feminino,"['ra', 'be', 'ca', 'da']",-2,"['ɦa', 'be', 'kˈa', 'dɐ']",-2
rabecão,nome masculino,"['ra', 'be', 'cão']",-1,"['ɦa', 'be', 'kˈɐ̃w']",-1
rabejador,adjetivo,"['ra', 'be', 'ja', 'dor']",-1,"['ɦa', 'be', 'ʒa', 'dˈo']",-1
rabejador,nome masculino,"['ra', 'be', 'ja', 'dor']",-1,"['ɦa', 'be', 'ʒa', 'dˈo']",-1
rabejar,verbo,"['ra', 'be', 'jar']",-1,"['ɦa', 'be', 'ʒˈa']",-1
rabel,nome masculino,"['ra', 'bel']",-1,"['ɦa', 'bˈɛw']",-1
rabelaisiana,nome feminino,"['ra', 'be', 'lai', 'si', 'a', 'na']",-2,"['ɦa', 'be', 'laj', 'zi', 'ˈɐ̃', 'nɐ']",-2
rabelaisiano,adjetivo,"['ra', 'be', 'lai', 'si', 'a', 'no']",-2,"['ɦa', 'be', 'le', 'zi', 'ˈɐ̃', 'nʊ']",-2
rabelaisiano,nome masculino,"['ra', 'be', 'lai', 'si', 'a', 'no']",-2,"['ɦa', 'be', 'le', 'zi', 'ˈɐ̃', 'nʊ']",-2
rabelo,adjetivo,"['ra', 'be', 'lo']",-2,"['ɦa', 'bˈe', 'lʊ']",-2
