palavra,categoria,divisao_silabica,tonica_silabica_num,divisao_fonetica,tonica_fonetica_num
sã,nome feminino,['sã'],-1,['sˈɐ̃'],-1
saariano,adjetivo,"['sa', 'a', 'ri', 'a', 'no']",-2,"['sa', 'a', 'ɾi', 'ˈɐ̃', 'nʊ']",-2
saariano,nome masculino,"['sa', 'a', 'ri', 'a', 'no']",-2,"['sa', 'a', 'ɾi', 'ˈɐ̃', 'nʊ']",-2
saba,nome feminino,"['sa', 'ba']",-2,"['sˈa', 'bɐ']",-2
sábado,nome masculino,"['sá', 'ba', 'do']",-3,"['sˈa', 'ba', 'dʊ']",-3
sabão,nome masculino,"['sa', 'bão']",-1,"['sa', 'bˈɐ̃w']",-1
sabat,nome masculino,"['sa', 'bat']",-1,"['sa', 'bˈat']",-1
sabateno,adjetivo,"['sa', 'ba', 'te', 'no']",-2,"['sa', 'ba', 'tˈẽ', 'nʊ']",-2
sabático,adjetivo,"['sa', 'bá', 'ti', 'co']",-3,"['sa', 'bˈa', 'tʃi', 'kʊ']",-3
sabatina,nome feminino,"['sa', 'ba', 'ti', 'na']",-2,"['sa', 'ba', 'tʃˈĩ', 'nɐ']",-2
sabatinar,verbo,"['sa', 'ba', 'ti', 'nar']",-1,"['sa', 'ba', 'tʃĩ', 'nˈa']",-1
sabatino,adjetivo,"['sa', 'ba', 'ti', 'no']",-2,"['sa', 'ba', 'tʃˈĩ', 'nʊ']",-2
sabatino,nome masculino,"['sa', 'ba', 'ti', 'no']",-2,"['sa', 'ba', 'tʃˈĩ', 'nʊ']",-2
sabe,adjetivo,"['sa', 'be']",-2,"['sˈa', 'bɪ']",-2
sabe,advérbio,"['sa', 'be']",-2,"['sˈa', 'bɪ']",-2
sabe,nome masculino,"['sa', 'be']",-2,"['sˈa', 'bɪ']",-2
sabedor,adjetivo,"['sa', 'be', 'dor']",-1,"['sa', 'be', 'dˈo']",-1
sabedor,nome masculino,"['sa', 'be', 'dor']",-1,"['sa', 'be', 'dˈo']",-1
sabedora,nome feminino,"['sa', 'be', 'do', 'ra']",-2,"['sa', 'be', 'dˈo', 'ɾɐ']",-2
