palavra,categoria,divisao_silabica,tonica_silabica_num,divisao_fonetica,tonica_fonetica_num
tá,interjeição,['tá'],-1,['tˈa'],-1
taba,nome feminino,"['ta', 'ba']",-2,"['tˈa', 'bɐ']",-2
tabacaria,nome feminino,"['ta', 'ba', 'ca', 'ri', 'a']",-2,"['ta', 'ba', 'ka', 'ɾˈi', 'ɐ']",-2
tabaco,nome masculino,"['ta', 'ba', 'co']",-2,"['ta', 'bˈa', 'kʊ']",-2
tabaco,adjetivo,"['ta', 'ba', 'co']",-2,"['ta', 'bˈa', 'kʊ']",-2
tabagismo,nome masculino,"['ta', 'ba', 'gis', 'mo']",-2,"['ta', 'ba', 'ʒˈiʒ', 'mʊ']",-2
tabagista,nome masculino,"['ta', 'ba', 'gis', 'ta']",-2,"['ta', 'ba', 'ʒˈiʃ', 'tɐ']",-2
tabagista,adjetivo,"['ta', 'ba', 'gis', 'ta']",-2,"['ta', 'ba', 'ʒˈiʃ', 'tɐ']",-2
tabagista,nome feminino,"['ta', 'ba', 'gis', 'ta']",-2,"['ta', 'ba', 'ʒˈiʃ', 'tɐ']",-2
tabagístico,adjetivo,"['ta', 'ba', 'gís', 'ti', 'co']",-3,"['ta', 'ba', 'ʒˈiʃ', 'tʃi', 'kʊ']",-3
tabanca,nome feminino,"['ta', 'ban', 'ca']",-2,"['ta', 'bˈɐ̃', 'kɐ']",-2
tabaqueira,nome feminino,"['ta', 'ba', 'quei', 'ra']",-2,"['ta', 'ba', 'kˈej', 'ɾɐ']",-2
tabaqueiro,nome masculino,"['ta', 'ba', 'quei', 'ro']",-2,"['ta', 'ba', 'kˈej', 'ɾʊ']",-2
tabaqueiro,adjetivo,"['ta', 'ba', 'quei', 'ro']",-2,"['ta', 'ba', 'kˈej', 'ɾʊ']",-2
tabatinga,nome feminino,"['ta', 'ba', 'tin', 'ga']",-2,"['ta', 'ba', 'tʃˈĩ', 'gɐ']",-2
tabefe,nome masculino,"['ta', 'be', 'fe']",-2,"['ta', 'bˈɛ', 'fɪ']",-2
