palavra,categoria,divisao_silabica,tonica_silabica_num,divisao_fonetica,tonica_fonetica_num
u,advérbio,['u'],-1,['ˈu'],-1
úbere,adjetivo,"['ú', 'be', 're']",-3,"['ˈu', 'be', 'ɾɪ']",-3
úbere,nome masculino,"['ú', 'be', 're']",-3,"['ˈu', 'be', 'ɾɪ']",-3
ubérrimo,adjetivo,"['u', 'bér', 'ri', 'mo']",-3,"['u', 'bˈɛ', 'ɦĩ', 'mʊ']",-3
ubi,nome masculino,"['u', 'bi']",-1,"['u', 'bˈi']",-1
ubiquamente,advérbio,"['u', 'bi', 'qua', 'men', 'te']",-2,"['u', 'bi', 'kwã', 'mˈẽ', 'tʃɪ']",-2
ubiquidade,nome feminino,"['u', 'bi', 'qui', 'da', 'de']",-2,"['u', 'bi', 'kwi', 'dˈa', 'dʒɪ']",-2
ubíquo,adjetivo,"['u', 'bí', 'quo']",-2,"['u', 'bˈi', 'ku', 'ʊ']",-3
ucha,nome feminino,"['u', 'cha']",-2,"['ˈu', 'ʃɐ']",-2
ucraniana,nome feminino,"['u', 'cra', 'ni', 'a', 'na']",-2,"['u', 'kɾã', 'ni', 'ˈɐ̃', 'nɐ']",-2
ucraniano,adjetivo,"['u', 'cra', 'ni', 'a', 'no']",-2,"['u', 'kɾã', 'ni', 'ˈɐ̃', 'nʊ']",-2
ucraniano,nome masculino,"['u', 'cra', 'ni', 'a', 'no']",-2,"['u', 'kɾã', 'ni', 'ˈɐ̃', 'nʊ']",-2
ucronia,nome feminino,"['u', 'cro', 'ni', 'a']",-2,"['u', 'kɾõ', 'nˈi', 'ɐ']",-2
udo,adjetivo,"['u', 'do']",-2,"['ˈu', 'dʊ']",-2
udu,nome masculino,"['u', 'du']",-1,"['u', 'dˈu']",-1
ué,interjeição,"['u', 'é']",-1,"['u', 'ˈɛ']",-1
uê,interjeição,"['u', 'ê']",-1,"['u', 'ˈe']",-1
uf,interjeição,['uf'],-1,['ˈuf'],-1
ufa,interjeição,"['u', 'fa']",-2,"['ˈu', 'fɐ']",-2
ufa,nome feminino,"['u', 'fa']",-2,"['ˈu', 'fɐ']",-2
ufanamente,advérbio,"['u', 'fa', 'na', 'men', 'te']",-2,"['u', 'fã', 'nã', 'mˈẽ', 'tʃɪ']",-2
ufanar,verbo,"['u', 'fa', 'nar']",-1,"['u', 'fã', 'nˈa']",-1
ufania,nome feminino,"['u', 'fa', 'ni', 'a']",-2,"['u', 'fã', 'nˈi', 'ɐ']",-2
ufano,adjetivo,"['u', 'fa', 'no']",-2,"['u', 'fˈɐ̃', 'nʊ']",-2
ugandês,nome masculino,"['u', 'gan', 'dês']",-1,"['u', 'gɐ̃', 'dˈeʃ']",-1
ugandês,adjetivo,"['u', 'gan', 'dês']",-1,"['u', 'gɐ̃', 'dˈeʃ']",-1
ugandesa,nome feminino,"['u', 'gan', 'de', 'sa']",-2,"['u', 'gɐ̃', 'dˈe', 'zɐ']",-2
ugar,verbo,"['u', 'gar']",-1,"['u', 'gˈa']",-1
uh,interjeição,['uh'],-1,['ˈu'],-1
ui,interjeição,['ui'],-1,"['ˈu', 'ɪ']",-2
uigure,nome masculino,"['ui', 'gu', 're']",-2,"['uj', 'gˈu', 'ɾɪ']",-2
uísque,nome masculino,"['u', 'ís', 'que']",-2,"['u', 'ˈiʃ', 'kɪ']",-2
uivante,adjetivo,"['ui', 'van', 'te']",-2,"['uj', 'vˈɐ̃', 'tʃɪ']",-2
uivar,verbo,"['ui', 'var']",-1,"['uj', 'vˈa']",-1
uivo,nome masculino,"['ui', 'vo']",-2,"['ˈuj', 'vʊ']",-2
uja,nome feminino,"['u', 'ja']",-2,"['ˈu', 'ʒɐ']",-2
úlcera,nome feminino,"['úl', 'ce', 'ra']",-3,"['ˈuw', 'se', 'ɾɐ']",-3
ulceração,nome feminino,"['ul', 'ce', 'ra', 'ção']",-1,"['uw', 'se', 'ɾa', 'sˈɐ̃w']",-1
ulcerado,adjetivo,"['ul', 'ce', 'ra', 'do']",-2,"['uw', 'se', 'ɾˈa', 'dʊ']",-2
ulcerar,verbo,"['ul', 'ce', 'rar']",-1,"['uw', 'se', 'ɾˈa']",-1
ulceroso,adjetivo,"['ul', 'ce', 'ro', 'so']",-2,"['uw', 'se', 'ɾˈo', 'zʊ']",-2
ulissiponense,adjetivo,"['u', 'lis', 'si', 'po', 'nen', 'se']",-2,"['u', 'li', 'si', 'põ', 'nˈẽ', 'sɪ']",-2
ulissiponense,nome masculino,"['u', 'lis', 'si', 'po', 'nen', 'se']",-2,"['u', 'li', 'si', 'põ', 'nˈẽ', 'sɪ']",-2
ulmeiro,nome masculino,"['ul', 'mei', 'ro']",-2,"['uw', 'mˈej', 'ɾʊ']",-2
ulterior,adjetivo,"['ul', 'te', 'ri', 'or']",-1,"['uw', 'te', 'ɾjˈo']",-1
ulteriormente,advérbio,"['ul', 'te', 'ri', 'or', 'men', 'te']",-2,"['uw', 'te', 'ɾjoɦ', 'mˈẽ', 'tʃɪ']",-2
última,nome feminino,"['úl', 'ti', 'ma']",-3,"['ˈuw', 'tʃĩ', 'mɐ']",-3
ultimação,nome feminino,"['ul', 'ti', 'ma', 'ção']",-1,"['uw', 'tʃĩ', 'ma', 'sˈɐ̃w']",-1
ultimado,adjetivo,"['ul', 'ti', 'ma', 'do']",-2,"['uw', 'tʃĩ', 'mˈa', 'dʊ']",-2
ultimamente,advérbio,"['ul', 'ti', 'ma', 'men', 'te']",-2,"['uw', 'tʃĩ', 'mã', 'mˈẽ', 'tʃɪ']",-2
ultimar,verbo,"['ul', 'ti', 'mar']",-1,"['uw', 'tʃĩ', 'mˈa']",-1
últimas,nome feminino,"['úl', 'ti', 'mas']",-3,"['ˈuw', 'tʃĩ', 'mɐʃ']",-3
ultimato,nome masculino,"['ul', 'ti', 'ma', 'to']",-2,"['uw', 'tʃĩ', 'mˈa', 'tʊ']",-2
último,adjetivo,"['úl', 'ti', 'mo']",-3,"['ˈuw', 'tʃĩ', 'mʊ']",-3
último,nome masculino,"['úl', 'ti', 'mo']",-3,"['ˈuw', 'tʃĩ', 'mʊ']",-3
ultra,adjetivo,"['ul', 'tra']",-2,"['ˈuw', 'tɾɐ']",-2
ultra,nome masculino,"['ul', 'tra']",-2,"['ˈuw', 'tɾɐ']",-2
ultra,nome feminino,"['ul', 'tra']",-2,"['ˈuw', 'tɾɐ']",-2
ultra-hiperbólico,adjetivo,"['ul', 'tra', 'hi', 'per', 'bó', 'li', 'co']",-3,"['uw', 'tɾa', 'i', 'pɛɦ', 'bˈɔ', 'li', 'kʊ']",-3
ultra-homérico,adjetivo,"['ul', 'tra', 'ho', 'mé', 'ri', 'co']",-3,"['uw', 'tɾa', 'õ', 'mˈɛ', 'ɾi', 'kʊ']",-3
ultra-humano,adjetivo,"['ul', 'tra', 'hu', 'ma', 'no']",-2,"['uw', 'tɾa', 'ũ', 'mˈɐ̃', 'nʊ']",-2
ultrabásico,adjetivo,"['ul', 'tra', 'bá', 'si', 'co']",-3,"['uw', 'tɾa', 'bˈa', 'zi', 'kʊ']",-3
ultracentrifugação,nome feminino,"['ul', 'tra', 'cen', 'tri', 'fu', 'ga', 'ção']",-1,"['uw', 'tɾa', 'sẽ', 'tɾi', 'fu', 'ga', 'sˈɐ̃w']",-1
ultracentrifugar,verbo,"['ul', 'tra', 'cen', 'tri', 'fu', 'gar']",-1,"['uw', 'tɾa', 'sẽ', 'tɾi', 'fu', 'gˈaɾ']",-1
ultracompetente,adjetivo,"['ul', 'tra', 'com', 'pe', 'ten', 'te']",-2,"['uw', 'tɾa', 'kõ', 'pe', 'tˈẽ', 'tʃɪ']",-2
ultraconfiança,nome feminino,"['ul', 'tra', 'con', 'fi', 'an', 'ça']",-2,"['uw', 'tɾa', 'kõ', 'fi', 'ˈɐ̃', 'sɐ']",-2
ultracongelação,nome feminino,"['ul', 'tra', 'con', 'ge', 'la', 'ção']",-1,"['uw', 'tɾa', 'kõ', 'ʒe', 'la', 'sˈɐ̃w']",-1
ultracongelado,adjetivo,"['ul', 'tra', 'con', 'ge', 'la', 'do']",-2,"['uw', 'tɾa', 'kõ', 'ʒe', 'lˈa', 'dʊ']",-2
ultraconservador,adjetivo,"['ul', 'tra', 'con', 'ser', 'va', 'dor']",-1,"['uw', 'tɾa', 'kõ', 'seɦ', 'va', 'dˈo']",-1
ultraconservador,nome masculino,"['ul', 'tra', 'con', 'ser', 'va', 'dor']",-1,"['uw', 'tɾa', 'kõ', 'seɦ', 'va', 'dˈo']",-1
ultraconservadora,nome feminino,"['ul', 'tra', 'con', 'ser', 'va', 'do', 'ra']",-2,"['uw', 'tɾa', 'kõ', 'seɦ', 'va', 'dˈo', 'ɾɐ']",-2
ultracorreção,nome feminino,"['ul', 'tra', 'cor', 're', 'ção']",-1,"['uw', 'tɾa', 'ko', 'ɦe', 'sˈɐ̃w']",-1
ultracorreto,adjetivo,"['ul', 'tra', 'cor', 're', 'to']",-2,"['uw', 'tɾa', 'ko', 'ɦˈɛ', 'tʊ']",-2
ultracorrigido,adjetivo,"['ul', 'tra', 'cor', 'ri', 'gi', 'do']",-2,"['uw', 'tɾa', 'ko', 'ɦi', 'ʒˈi', 'dʊ']",-2
ultracurto,adjetivo,"['ul', 'tra', 'cur', 'to']",-2,"['uw', 'tɾa', 'kˈuh', 'tʊ']",-2
