palavra,categoria,divisao_silabica,tonica_silabica_num,divisao_fonetica,tonica_fonetica_num
vaca,nome feminino,"['va', 'ca']",-2,"['vˈa', 'kɐ']",-2
vacada,nome feminino,"['va', 'ca', 'da']",-2,"['va', 'kˈa', 'dɐ']",-2
vacante,adjetivo,"['va', 'can', 'te']",-2,"['va', 'kˈɐ̃', 'tʃɪ']",-2
vacar,verbo,"['va', 'car']",-1,"['va', 'kˈa']",-1
vacaria,nome feminino,"['va', 'ca', 'ri', 'a']",-2,"['va', 'ka', 'ɾˈi', 'ɐ']",-2
vacatura,nome feminino,"['va', 'ca', 'tu', 'ra']",-2,"['va', 'ka', 'tˈu', 'ɾɐ']",-2
vacilação,nome feminino,"['va', 'ci', 'la', 'ção']",-1,"['va', 'si', 'la', 'sˈɐ̃w']",-1
vacilante,adjetivo,"['va', 'ci', 'lan', 'te']",-2,"['va', 'si', 'lˈɐ̃', 'tʃɪ']",-2
vacilantemente,advérbio,"['va', 'ci', 'lan', 'te', 'men', 'te']",-2,"['va', 'si', 'lɐ̃', 'tẽ', 'mˈẽ', 'tʃɪ']",-2
vacilar,verbo,"['va', 'ci', 'lar']",-1,"['va', 'si', 'lˈa']",-1
vacina,nome feminino,"['va', 'ci', 'na']",-2,"['va', 'sˈĩ', 'nɐ']",-2
vacinação,nome feminino,"['va', 'ci', 'na', 'ção']",-1,"['va', 'sĩ', 'na', 'sˈɐ̃w']",-1
vacinado,adjetivo,"['va', 'ci', 'na', 'do']",-2,"['va', 'sĩ', 'nˈa', 'dʊ']",-2
vacinal,adjetivo,"['va', 'ci', 'nal']",-1,"['va', 'sĩ', 'nˈaw']",-1
vacinar,verbo,"['va', 'ci', 'nar']",-1,"['va', 'sĩ', 'nˈa']",-1
vacuidade,nome feminino,"['va', 'cui', 'da', 'de']",-2,"['va', 'kuj', 'dˈa', 'dʒɪ']",-2
vacum,adjetivo,"['va', 'cum']",-1,"['va', 'kˈũ']",-1
vacum,nome masculino,"['va', 'cum']",-1,"['va', 'kˈũ']",-1
vácuo,adjetivo,"['vá', 'cu', 'o']",-3,"['vˈa', 'ku', 'ʊ']",-3
vácuo,nome masculino,"['vá', 'cu', 'o']",-3,"['vˈa', 'ku', 'ʊ']",-3
vadia,nome feminino,"['va', 'di', 'a']",-2,"['va', 'dʒˈi', 'ɐ']",-2
vadiagem,nome feminino,"['va', 'di', 'a', 'gem']",-2,"['va', 'dʒi', 'ˈa', 'ʒẽj']",-2
vadiamente,advérbio,"['va', 'di', 'a', 'men', 'te']",-2,"['va', 'dʒi', 'ã', 'mˈẽ', 'tʃɪ']",-2
vadiar,verbo,"['va', 'di', 'ar']",-1,"['va', 'dʒi', 'ˈa']",-1
vadio,nome masculino,"['va', 'di', 'o']",-2,"['va', 'dʒˈi', 'ʊ']",-2
vadio,adjetivo,"['va', 'di', 'o']",-2,"['va', 'dʒˈi', 'ʊ']",-2
vaga,nome feminino,"['va', 'ga']",-2,"['vˈa', 'gɐ']",-2
vagabunda,nome feminino,"['va', 'ga', 'bun', 'da']",-2,"['va', 'ga', 'bˈũ', 'dɐ']",-2
vagabundagem,nome feminino,"['va', 'ga', 'bun', 'da', 'gem']",-2,"['va', 'ga', 'bũ', 'dˈa', 'ʒẽj']",-2
vagabundar,verbo,"['va', 'ga', 'bun', 'dar']",-1,"['va', 'ga', 'bũ', 'dˈa']",-1
vagabundear,verbo,"['va', 'ga', 'bun', 'de', 'ar']",-1,"['va', 'ga', 'bũ', 'dʒi', 'ˈa']",-1
vagabundo,nome masculino,"['va', 'ga', 'bun', 'do']",-2,"['va', 'ga', 'bˈũ', 'dʊ']",-2
vagabundo,adjetivo,"['va', 'ga', 'bun', 'do']",-2,"['va', 'ga', 'bˈũ', 'dʊ']",-2
vagalhão,nome masculino,"['va', 'ga', 'lhão']",-1,"['va', 'ga', 'ʎˈɐ̃w']",-1
vagamente,advérbio,"['va', 'ga', 'men', 'te']",-2,"['va', 'gã', 'mˈẽ', 'tʃɪ']",-2
vagamundo,adjetivo,"['va', 'ga', 'mun', 'do']",-2,"['va', 'gã', 'mˈũ', 'dʊ']",-2
vagamundo,nome masculino,"['va', 'ga', 'mun', 'do']",-2,"['va', 'gã', 'mˈũ', 'dʊ']",-2
vagão,nome masculino,"['va', 'gão']",-1,"['va', 'gˈɐ̃w']",-1
vagão-restaurante,nome masculino,"['va', 'gão', 'res', 'tau', 'ran', 'te']",-1,"['va', 'gˌɐ̃w', 'ɦeʃ', 'taw', 'ɾˈɐ̃', 'tʃɪ']",-2
vagar,verbo,"['va', 'gar']",-1,"['va', 'gˈa']",-1
vagar,nome masculino,"['va', 'gar']",-1,"['va', 'gˈa']",-1
vagarosa,nome feminino,"['va', 'ga', 'ro', 'sa']",-2,"['va', 'ga', 'ɾˈɔ', 'zɐ']",-2
vagarosamente,advérbio,"['va', 'ga', 'ro', 'sa', 'men', 'te']",-2,"['va', 'ga', 'ɾo', 'zã', 'mˈẽ', 'tʃɪ']",-2
vagaroso,adjetivo,"['va', 'ga', 'ro', 'so']",-2,"['va', 'ga', 'ɾˈo', 'zʊ']",-2
vagem,nome feminino,"['va', 'gem']",-2,"['vˈa', 'ʒẽj']",-2
vagido,nome masculino,"['va', 'gi', 'do']",-2,"['va', 'ʒˈi', 'dʊ']",-2
vagina,nome feminino,"['va', 'gi', 'na']",-2,"['va', 'ʒˈĩ', 'nɐ']",-2
vaginal,adjetivo,"['va', 'gi', 'nal']",-1,"['va', 'ʒĩ', 'nˈaw']",-1
vaginismo,nome masculino,"['va', 'gi', 'nis', 'mo']",-2,"['va', 'ʒĩ', 'nˈiʒ', 'mʊ']",-2
vagir,verbo,"['va', 'gir']",-1,"['va', 'ʒˈi']",-1
vago,adjetivo,"['va', 'go']",-2,"['vˈa', 'gʊ']",-2
vago,nome masculino,"['va', 'go']",-2,"['vˈa', 'gʊ']",-2
vagoneta,nome feminino,"['va', 'go', 'ne', 'ta']",-2,"['va', 'gõ', 'nˈe', 'tɐ']",-2
vagonete,nome masculino,"['va', 'go', 'ne', 'te']",-2,"['va', 'gõ', 'nˈɛ', 'tʃɪ']",-2
vaguear,verbo,"['va', 'gue', 'ar']",-1,"['va', 'gi', 'ˈa']",-1
vagueira,nome feminino,"['va', 'guei', 'ra']",-2,"['va', 'gˈej', 'ɾɐ']",-2
vagueiro,adjetivo,"['va', 'guei', 'ro']",-2,"['va', 'gˈej', 'ɾʊ']",-2
vaguense,adjetivo,"['va', 'guen', 'se']",-2,"['va', 'gˈẽ', 'sɪ']",-2
vaguense,nome masculino,"['va', 'guen', 'se']",-2,"['va', 'gˈẽ', 'sɪ']",-2
vaguíssimo,adjetivo,"['va', 'guís', 'si', 'mo']",-3,"['va', 'gˈi', 'sĩ', 'mʊ']",-3
vai-não-vai,advérbio,"['vai', 'não', 'vai']",-1,"['vˌaj', 'nɐ̃w', 'vˈaj']",-1
vai-não-vai,nome masculino,"['vai', 'não', 'vai']",-1,"['vˌaj', 'nɐ̃w', 'vˈaj']",-1
vaia,nome feminino,"['vai', 'a']",-2,"['vˈaj', 'ɐ']",-2
vaiar,verbo,"['vai', 'ar']",-1,"['vaj', 'ˈa']",-1
vaidade,nome feminino,"['vai', 'da', 'de']",-2,"['vaj', 'dˈa', 'dʒɪ']",-2
vaidosa,nome feminino,"['vai', 'do', 'sa']",-2,"['vaj', 'dˈɔ', 'zɐ']",-2
vaidosamente,advérbio,"['vai', 'do', 'sa', 'men', 'te']",-2,"['vaj', 'dɔ', 'zã', 'mˈẽ', 'tʃɪ']",-2
vaidoso,nome masculino,"['vai', 'do', 'so']",-2,"['vaj', 'dˈo', 'zʊ']",-2
vaidoso,adjetivo,"['vai', 'do', 'so']",-2,"['vaj', 'dˈo', 'zʊ']",-2
vairão,nome masculino,"['vai', 'rão']",-1,"['vaj', 'ɾˈɐ̃w']",-1
vaivém,nome masculino,"['vai', 'vém']",-1,"['vaj', 'vˈẽj']",-1
vala,nome feminino,"['va', 'la']",-2,"['vˈa', 'lɐ']",-2
valada,nome feminino,"['va', 'la', 'da']",-2,"['va', 'lˈa', 'dɐ']",-2
valado,adjetivo,"['va', 'la', 'do']",-2,"['va', 'lˈa', 'dʊ']",-2
valado,nome masculino,"['va', 'la', 'do']",-2,"['va', 'lˈa', 'dʊ']",-2
valador,adjetivo,"['va', 'la', 'dor']",-1,"['va', 'la', 'dˈo']",-1
valador,nome masculino,"['va', 'la', 'dor']",-1,"['va', 'la', 'dˈo']",-1
valão,nome masculino,"['va', 'lão']",-1,"['va', 'lˈɐ̃w']",-1
valão,adjetivo,"['va', 'lão']",-1,"['va', 'lˈɐ̃w']",-1
valáquia,nome feminino,"['va', 'lá', 'qui', 'a']",-3,"['va', 'lˈa', 'kjɐ']",-2
valáquio,nome masculino,"['va', 'lá', 'qui', 'o']",-3,"['va', 'lˈa', 'kjʊ']",-2
valáquio,adjetivo,"['va', 'lá', 'qui', 'o']",-3,"['va', 'lˈa', 'kjʊ']",-2
valar,verbo,"['va', 'lar']",-1,"['va', 'lˈa']",-1
valar,adjetivo,"['va', 'lar']",-1,"['va', 'lˈa']",-1
valboense,adjetivo,"['val', 'bo', 'en', 'se']",-2,"['vaw', 'bo', 'ˈẽ', 'sɪ']",-2
valboense,nome masculino,"['val', 'bo', 'en', 'se']",-2,"['vaw', 'bo', 'ˈẽ', 'sɪ']",-2
valdense,nome masculino,"['val', 'den', 'se']",-2,"['vaw', 'dˈẽ', 'sɪ']",-2
valdense,adjetivo,"['val', 'den', 'se']",-2,"['vaw', 'dˈẽ', 'sɪ']",-2
valdense,nome feminino,"['val', 'den', 'se']",-2,"['vaw', 'dˈẽ', 'sɪ']",-2
valdevinos,nome masculino,"['val', 'de', 'vi', 'nos']",-2,"['vaw', 'de', 'vˈĩ', 'nʊʃ']",-2
valdo,nome masculino,"['val', 'do']",-2,"['vˈaw', 'dʊ']",-2
vale,nome masculino,"['va', 'le']",-2,"['vˈa', 'lɪ']",-2
