palavra,categoria,divisao_silabica,tonica_silabica_num,divisao_fonetica,tonica_fonetica_num
zabumba,nome masculino,"['za', 'bum', 'ba']",-2,"['za', 'bˈũ', 'bɐ']",-2
zabumbar,verbo,"['za', 'bum', 'bar']",-1,"['za', 'bũ', 'bˈa']",-1
zaga,nome feminino,"['za', 'ga']",-2,"['zˈa', 'gɐ']",-2
zagaia,nome feminino,"['za', 'gai', 'a']",-2,"['za', 'gˈaj', 'ɐ']",-2
zagaiada,nome feminino,"['za', 'gai', 'a', 'da']",-2,"['za', 'gaj', 'ˈa', 'dɐ']",-2
zagaiar,verbo,"['za', 'gai', 'ar']",-1,"['za', 'gaj', 'ˈa']",-1
zagal,nome masculino,"['za', 'gal']",-1,"['za', 'gˈaw']",-1
zagalote,nome masculino,"['za', 'ga', 'lo', 'te']",-2,"['za', 'ga', 'lˈɔ', 'tʃɪ']",-2
zagueiro,nome masculino,"['za', 'guei', 'ro']",-2,"['za', 'gˈej', 'ɾʊ']",-2
zaida,nome feminino,"['zai', 'da']",-2,"['zˈaj', 'dɐ']",-2
zaina,nome feminino,"['zai', 'na']",-2,"['zˈãj', 'nɐ']",-2
zaino,nome masculino,"['zai', 'no']",-2,"['zˈãj', 'nʊ']",-2
zaino,adjetivo,"['zai', 'no']",-2,"['zˈãj', 'nʊ']",-2
zaira,nome feminino,"['zai', 'ra']",-2,"['zˈaj', 'ɾɐ']",-2
zaire,nome masculino,"['zai', 're']",-2,"['zˈaj', 'ɾɪ']",-2
zairense,adjetivo,"['zai', 'ren', 'se']",-2,"['zaj', 'ɾˈẽ', 'sɪ']",-2
zairense,nome masculino,"['zai', 'ren', 'se']",-2,"['zaj', 'ɾˈẽ', 'sɪ']",-2
zairense,nome feminino,"['zai', 'ren', 'se']",-2,"['zaj', 'ɾˈẽ', 'sɪ']",-2
zairota,nome masculino,"['zai', 'ro', 'ta']",-2,"['zaj', 'ɾˈɔ', 'tɐ']",-2
zamba,nome feminino,"['zam', 'ba']",-2,"['zˈɐ̃', 'bɐ']",-2
zambiana,nome feminino,"['zam', 'bi', 'a', 'na']",-2,"['zɐ̃', 'bi', 'ˈɐ̃', 'nɐ']",-2
zambiano,adjetivo,"['zam', 'bi', 'a', 'no']",-2,"['zɐ̃', 'bi', 'ˈɐ̃', 'nʊ']",-2
zambiano,nome masculino,"['zam', 'bi', 'a', 'no']",-2,"['zɐ̃', 'bi', 'ˈɐ̃', 'nʊ']",-2
